DATE,GROSS_LEV_AVG_EU_RA,NET_LEV_AVG_EU_RA,GROSS_LEV_MEDIAN_US_RA,NET_LEV_MEDIAN_US_RA,GROSS_LEV_MEDIAN_ASIA_RA,NET_LEV_MEDIAN_ASIA_RA
"1/4/10","1.7500","0.2900","1.4124","0.5385","1.1300","0.5500"
"1/5/10","1.7400","0.2900","1.4193","0.5383","1.1400","0.5500"
"1/6/10","1.7400","0.2900","1.4268","0.5398","1.1400","0.5500"
"1/7/10","1.7500","0.3000","1.4277","0.5539","1.1500","0.5400"
"1/8/10","1.7500","0.3000","1.4283","0.5722","1.1600","0.5400"
"1/11/10","1.7500","0.3200","1.4261","0.5751","1.1800","0.5500"
"1/12/10","1.7600","0.3200","1.4255","0.5722","1.1800","0.5400"
"1/13/10","1.7700","0.3200","1.4311","0.5687","1.1800","0.5300"
"1/14/10","1.7800","0.3200","1.4426","0.5674","1.1900","0.5200"
"1/15/10","1.7700","0.3200","1.4577","0.5597","1.1900","0.5200"
"1/18/10","1.7700","0.3300","1.4713","0.5544","1.1900","0.5200"
"1/19/10","1.7700","0.3300","1.4825","0.5569","1.1800","0.5200"
"1/20/10","1.7500","0.3200","1.4870","0.5573","1.1700","0.5200"
"1/21/10","1.7400","0.3200","1.4871","0.5499","1.1600","0.5300"
"1/22/10","1.7200","0.3300","1.4863","0.5474","1.1600","0.5200"
"1/25/10","1.7000","0.3200","1.4833","0.5471","1.1600","0.5000"
"1/26/10","1.6700","0.3200","1.4833","0.5370","1.1600","0.4900"
"1/27/10","1.6600","0.3100","1.4819","0.5310","1.1500","0.4700"
"1/28/10","1.6500","0.3000","1.4872","0.5316","1.1400","0.4600"
"1/29/10","1.6400","0.3000","1.4861","0.5291","1.1300","0.4400"
"2/1/10","1.6500","0.3000","1.4842","0.5264","1.1100","0.4300"
"2/2/10","1.6500","0.2900","1.4843","0.5315","1.0900","0.4200"
"2/3/10","1.6600","0.2900","1.4865","0.5317","1.0900","0.4200"
"2/4/10","1.6600","0.2800","1.4869","0.5275","1.0900","0.4100"
"2/5/10","1.6800","0.2700","1.4875","0.5189","1.0800","0.4000"
"2/8/10","1.6900","0.2500","1.4881","0.5076","1.0800","0.3800"
"2/9/10","1.6900","0.2500","1.4863","0.5021","1.0800","0.3700"
"2/10/10","1.7000","0.2500","1.4834","0.5011","1.0700","0.3500"
"2/11/10","1.7200","0.2300","1.4752","0.5084","1.0700","0.3500"
"2/12/10","1.7300","0.2200","1.4730","0.5217","1.0700","0.3600"
"2/15/10","1.7400","0.2000","1.4735","0.5357","1.0700","0.3600"
"2/16/10","1.7600","0.1800","1.4741","0.5471","1.0800","0.3700"
"2/17/10","1.7700","0.1600","1.4790","0.5511","1.0800","0.3900"
"2/18/10","1.7700","0.1700","1.4879","0.5520","1.0900","0.4000"
"2/19/10","1.7600","0.1800","1.4938","0.5563","1.0900","0.4000"
"2/22/10","1.7400","0.1900","1.4883","0.5509","1.0900","0.4000"
"2/23/10","1.7300","0.2000","1.4888","0.5460","1.0900","0.4000"
"2/24/10","1.6900","0.2200","1.4875","0.5483","1.0900","0.3900"
"2/25/10","1.6400","0.2400","1.4853","0.5490","1.0900","0.3900"
"2/26/10","1.6100","0.2600","1.4796","0.5433","1.0800","0.3800"
"3/1/10","1.5800","0.2800","1.4909","0.5545","1.0700","0.3900"
"3/2/10","1.5500","0.3000","1.4948","0.5571","1.0600","0.4000"
"3/3/10","1.5500","0.3000","1.4992","0.5544","1.0600","0.4100"
"3/4/10","1.5600","0.3100","1.5013","0.5570","1.0400","0.4200"
"3/5/10","1.5800","0.3200","1.5098","0.5697","1.0300","0.4400"
"3/8/10","1.6100","0.3200","1.5166","0.5754","1.0400","0.4600"
"3/9/10","1.6300","0.3200","1.5318","0.5786","1.0500","0.4800"
"3/10/10","1.6500","0.3100","1.5430","0.5825","1.0500","0.4800"
"3/11/10","1.6800","0.3000","1.5546","0.5836","1.0600","0.4900"
"3/12/10","1.7000","0.3000","1.5655","0.5772","1.0700","0.5000"
"3/15/10","1.7100","0.2900","1.5738","0.5696","1.0800","0.4900"
"3/16/10","1.7200","0.2900","1.5763","0.5712","1.0800","0.4800"
"3/17/10","1.7300","0.2900","1.5790","0.5727","1.0900","0.4900"
"3/18/10","1.7300","0.2800","1.5783","0.5742","1.1100","0.4900"
"3/19/10","1.7300","0.2700","1.5757","0.5674","1.1200","0.4900"
"3/22/10","1.7200","0.2600","1.5702","0.5634","1.1400","0.4900"
"3/23/10","1.7200","0.2500","1.5616","0.5604","1.1600","0.5000"
"3/24/10","1.7100","0.2600","1.5568","0.5537","1.1700","0.5000"
"3/25/10","1.7100","0.2600","1.5539","0.5472","1.1700","0.5000"
"3/26/10","1.7200","0.2700","1.5514","0.5419","1.1700","0.5000"
"3/29/10","1.7400","0.2800","1.5509","0.5361","1.1700","0.5100"
"3/30/10","1.7400","0.2800","1.5494","0.5298","1.1700","0.5200"
"3/31/10","1.7500","0.2800","1.5431","0.5300","1.1700","0.5200"
"4/1/10","1.7600","0.2800","1.5401","0.5321","1.1700","0.5300"
"4/2/10","1.7600","0.2800","1.5369","0.5405","1.1700","0.5400"
"4/5/10","1.7600","0.2700","1.5317","0.5530","1.1800","0.5500"
"4/6/10","1.7700","0.2800","1.5320","0.5629","1.1900","0.5500"
